time,site_id,p_ac_kw,p_dc_kw,p_dc_stc_kw,poa_total_wm2,t_cell_c,tier_used,fit_quality,source,quality
2024-08-20 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,14,3,low,physics_sdm,0
2024-08-21 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,14,3,low,physics_sdm,0
2024-08-21 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,13,3,low,physics_sdm,0
2024-08-21 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,13,3,low,physics_sdm,0
2024-08-21 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,13,3,low,physics_sdm,0
2024-08-21 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,12,3,low,physics_sdm,0
2024-08-21 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,12,3,low,physics_sdm,0
2024-08-21 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1550.0690590359027,1602.1905610537672,28399.68,58.81586866073196,14.028133402094205,3,low,physics_sdm,0
2024-08-21 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7045.041228860046,7281.932694105056,28399.68,262.1758612711896,22.04054694038585,3,low,physics_sdm,0
2024-08-21 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,12428.135256128771,12846.034751028375,28399.68,470.4572446716402,30.222663609366904,3,low,physics_sdm,0
2024-08-21 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16844.039875312836,17410.425387772622,28399.68,654.6187936658204,38.57306185054553,3,low,physics_sdm,0
2024-08-21 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19660,20617.475722665124,28399.68,791.3756852576412,44.28881673302211,3,low,physics_sdm,0
2024-08-21 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19660,21251.31984404561,28399.68,821.7568738324022,46.33644392525525,3,low,physics_sdm,0
2024-08-21 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19660,20498.12882082098,28399.68,792.0608042187506,46.312441524784504,3,low,physics_sdm,0
2024-08-21 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14234.797092463348,14713.44609268285,28399.68,553.9795216365918,39.102742125399715,3,low,physics_sdm,0
2024-08-21 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,15817.966242453318,16349.849744429244,28399.68,620.2230818532387,41.387002822525474,3,low,physics_sdm,0
2024-08-21 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,9595.200041911963,9917.84130452602,28399.68,368.3150306187182,33.70051829719718,3,low,physics_sdm,0
2024-08-21 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,9119.756357929744,9426.410694806782,28399.68,349.6284558558964,33.05615365020333,3,low,physics_sdm,0
2024-08-21 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5635.383148685819,5824.874470019822,28399.68,214.3927993445449,27.392855149811894,3,low,physics_sdm,0
2024-08-21 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3101.5501883260677,3205.840673615731,28399.68,118.81262114864704,24.096986936160242,3,low,physics_sdm,0
2024-08-21 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,795.3040280293378,822.0463465474103,28399.68,31.58559202292358,20.089158345618053,3,low,physics_sdm,0
2024-08-21 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,18,3,low,physics_sdm,0
2024-08-21 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.225987501098743e-42,3.334462225542765e-42,28399.68,0,17,3,low,physics_sdm,0
2024-08-21 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.225987501098743e-42,3.334462225542765e-42,28399.68,0,17,3,low,physics_sdm,0
2024-08-21 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-08-22 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-08-22 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-08-22 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-08-22 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-08-22 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-08-22 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-08-22 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,331.15840865178376,342.29370198865763,28399.68,13.446017045011004,16.46365576017279,3,low,physics_sdm,0
2024-08-22 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,331.15840865178376,342.29370198865763,28399.68,13.446017045011004,16.46365576017279,3,low,physics_sdm,0
2024-08-22 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1114.3105194313362,1151.7795196984544,28399.68,43.44097814542017,18.497964763635178,3,low,physics_sdm,0
2024-08-22 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5627.984635702862,5817.227179985854,28399.68,212.0333457097889,24.311494679647893,3,low,physics_sdm,0
2024-08-22 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6968.503896858724,7202.821773087751,28399.68,264.37322989909313,28.11631827238252,3,low,physics_sdm,0
2024-08-22 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6171.66331294513,6379.187203538317,28399.68,234.78814378596135,28.09614288917108,3,low,physics_sdm,0
2024-08-22 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5709.440139741348,5901.421647939114,28399.68,217.2048907271008,27.48982381817589,3,low,physics_sdm,0
2024-08-22 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4643.953860130792,4800.108096666696,28399.68,176.86683959206783,26.09885653765751,3,low,physics_sdm,0
2024-08-22 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5245.81109357772,5422.202946511878,28399.68,199.62163766824028,26.8835047471807,3,low,physics_sdm,0
2024-08-22 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2499.460604939253,2583.505660999492,28399.68,96.1907373220018,23.31692197662075,3,low,physics_sdm,0
2024-08-22 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5600.472863219327,5788.79031652224,28399.68,213.0676547132513,27.347160507353493,3,low,physics_sdm,0
2024-08-22 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3103.4841498206924,3207.8396651019916,28399.68,118.8852800623688,24.09949241594375,3,low,physics_sdm,0
2024-08-22 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2035.0026559778828,2103.4301846880435,28399.68,78.72000476721381,22.714482923007374,3,low,physics_sdm,0
2024-08-22 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,619.7592066252506,640.5987818366928,28399.68,24.929285845931993,20.85963054641145,3,low,physics_sdm,0
2024-08-22 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,19,3,low,physics_sdm,0
2024-08-22 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,19,3,low,physics_sdm,0
2024-08-22 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,19,3,low,physics_sdm,0
2024-08-22 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,18,3,low,physics_sdm,0
2024-08-23 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,18,3,low,physics_sdm,0
2024-08-23 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.225987501098743e-42,3.334462225542765e-42,28399.68,0,17,3,low,physics_sdm,0
2024-08-23 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.225987501098743e-42,3.334462225542765e-42,28399.68,0,17,3,low,physics_sdm,0
2024-08-23 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.225987501098743e-42,3.334462225542765e-42,28399.68,0,17,3,low,physics_sdm,0
2024-08-23 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.225987501098743e-42,3.334462225542765e-42,28399.68,0,17,3,low,physics_sdm,0
2024-08-23 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.225987501098743e-42,3.334462225542765e-42,28399.68,0,17,3,low,physics_sdm,0
2024-08-23 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,147.28279406563297,152.23521886460497,28399.68,6.205854020774309,17.213994966233596,3,low,physics_sdm,0
2024-08-23 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1803.7366440655387,1864.387788984096,28399.68,69.29870323197979,19.389610456275165,3,low,physics_sdm,0
2024-08-23 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8468.557999622712,8753.315611093436,28399.68,320.9907544446112,29.06864670498659,3,low,physics_sdm,0
2024-08-23 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16049.347923897994,16589.01169908563,28399.68,627.8091419471878,40.64859110162716,3,low,physics_sdm,0
2024-08-23 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19035.607263445545,19675.684837157038,28399.68,756.7190177614052,45.0937592331519,3,low,physics_sdm,0
2024-08-23 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19660,22495.926537347263,28399.68,883.2180650576207,50.45579534681451,3,low,physics_sdm,0
2024-08-23 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19660,23335.586408116993,28399.68,921.1872348253327,51.76507706294251,3,low,physics_sdm,0
2024-08-23 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19660,22581.205843371245,28399.68,890.4698164303152,51.70585573897638,3,low,physics_sdm,0
2024-08-23 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19660,20696.44389962507,28399.68,806.6413099497719,48.815217584474894,3,low,physics_sdm,0
2024-08-23 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16878.63354976032,17446.182284117876,28399.68,670.1997040840959,45.11033462358951,3,low,physics_sdm,0
2024-08-23 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11471.03805994436,11856.754896173747,28399.68,444.4578621431628,37.32613317735044,3,low,physics_sdm,0
2024-08-23 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7408.201509119377,7657.304339509704,28399.68,283.0533694804361,30.760461016566765,3,low,physics_sdm,0
