time,site_id,p_ac_kw,p_ac_ph1_kw,p_ac_ph2_kw,p_ac_ph3_kw,e_exported_kwh,e_imported_kwh,e_net_kwh,v_ph1_n_v,v_ph2_n_v,v_ph3_n_v,v_ph1_ph2_v,v_ph2_ph3_v,v_ph3_ph1_v,i_ph1_a,i_ph2_a,i_ph3_a,freq_hz,power_factor,power_factor_ph1,power_factor_ph2,power_factor_ph3,q_kvar,q_ph1_kvar,q_ph2_kvar,q_ph3_kvar,q_total_kvarh,quality
2024-06-21 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1205.2,,1205.2,,,,,,,,,,50.01,1,,,,0,,,,,0
2024-06-21 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1205.2,,1205.2,,,,,,,,,,50.01,1,,,,0,,,,,0
2024-06-21 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1205.2,,1205.2,,,,,,,,,,50,1,,,,0,,,,,0
2024-06-21 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1205.2,,1205.2,,,,,,,,,,50,1,,,,0,,,,,0
2024-06-21 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1205.2,,1205.2,,,,,,,,,,49.99,1,,,,0,,,,,0
2024-06-21 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.8,,,,1207,,1207,,,,,,,,,,50,0.98,,,,0.4,,,,,0
2024-06-21 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8.5,,,,1215.5,,1215.5,,,,,,,,,,50.01,0.98,,,,1.7,,,,,0
2024-06-21 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,21,,,,1236.5,,1236.5,,,,,,,,,,50.01,0.98,,,,4.2,,,,,0
2024-06-21 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,35.5,,,,1272,,1272,,,,,,,,,,50,0.98,,,,7.1,,,,,0
2024-06-21 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,49.5,,,,1321.5,,1321.5,,,,,,,,,,50,0.98,,,,9.9,,,,,0
2024-06-21 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,61.5,,,,1383,,1383,,,,,,,,,,50.01,0.98,,,,12.3,,,,,0
2024-06-21 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,70.5,,,,1453.5,,1453.5,,,,,,,,,,50,0.98,,,,14.1,,,,,0
2024-06-21 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,75.5,,,,1529,,1529,,,,,,,,,,50.01,0.98,,,,15.1,,,,,0
2024-06-21 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,74,,,,1603,,1603,,,,,,,,,,50.01,0.98,,,,14.8,,,,,0
2024-06-21 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,68.5,,,,1671.5,,1671.5,,,,,,,,,,50,0.98,,,,13.7,,,,,0
2024-06-21 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,59,,,,1730.5,,1730.5,,,,,,,,,,50,0.98,,,,11.8,,,,,0
2024-06-21 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,45,,,,1775.5,,1775.5,,,,,,,,,,50.01,0.98,,,,9,,,,,0
2024-06-21 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,29.5,,,,1805,,1805,,,,,,,,,,50,0.98,,,,5.9,,,,,0
2024-06-21 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16,,,,1821,,1821,,,,,,,,,,50,0.99,,,,3.2,,,,,0
2024-06-21 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7,,,,1828,,1828,,,,,,,,,,50.01,0.99,,,,1.4,,,,,0
