time,site_id,ghi_wm2,ghi_b_wm2,poa_wm2,poa2_wm2,ref_cell1_wm2,ref_cell2_wm2,temp_amb_c,temp_amb1_c,temp_amb2_c,temp_mod_avg_c,temp_mod1_c,temp_mod2_c,temp_mod3_c,temp_mod4_c,temp_mod5_c,temp_mod6_c,ref_cell1_temp_c,ref_cell2_temp_c,wind_speed_ms,wind_speed_max_ms,wind_dir_deg,precip_mm,precip_dif_mm,ws_com_status,ws_com_quality,ws_num_fails,source,quality,dhi_wm2,dni_wm2
2024-01-01 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,7.8,,,,,,,,solcast_historic,0,0,0
2024-01-01 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,8.2,,,,,,,,solcast_historic,0,0,0
2024-01-01 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,8.2,,,,,,,,solcast_historic,0,0,0
2024-01-01 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,8.1,,,,,,,,solcast_historic,0,0,0
2024-01-01 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,8.1,,,,,,,,solcast_historic,0,0,0
2024-01-01 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,8,,,,,,,,solcast_historic,0,0,0
2024-01-01 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,8,,,,,,,,solcast_historic,0,0,0
2024-01-01 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,7.8,,,,,,,,solcast_historic,0,0,0
2024-01-01 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19,,,,,,7,,,,,,,,,,,,7.6,,,,,,,,solcast_historic,0,13,63
2024-01-01 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,98,,,,,,7,,,,,,,,,,,,7.5,,,,,,,,solcast_historic,0,43,399
2024-01-01 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,172,,,,,,7,,,,,,,,,,,,7,,,,,,,,solcast_historic,0,57,558
2024-01-01 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,215,,,,,,7,,,,,,,,,,,,6.7,,,,,,,,solcast_historic,0,60,640
